wvln_2,SPA_ag,SPB_ag,SPC_ag,SPD_ag,SPE_ag,SPF_ag,SPH_ag,SPI_ag,SPJ_ag,srfa_ag,,out,in
321,0.072391027,0.073207707,0.067261726,0.08625011,0.088418612,0.072052619,0.501122867,0.472581598,0.405551976,0.502001977,,0.070953487,0.459752147
322,0.070671124,0.071400336,0.065676564,0.084167373,0.086185033,0.070025522,0.493635574,0.465111095,0.399522509,0.494742093,,0.069249341,0.452756393
323,0.068851418,0.069487268,0.063949563,0.081993289,0.083819685,0.067804884,0.485927405,0.457195407,0.39326869,0.487653076,,0.067429416,0.445463834
324,0.067019713,0.067598765,0.062203918,0.079784126,0.081480114,0.065613229,0.478137448,0.449410842,0.386958878,0.480675088,,0.065607465,0.438169056
325,0.06524771,0.065807586,0.060527415,0.077613487,0.079280034,0.063597673,0.470394658,0.442099685,0.380711553,0.473734899,,0.063860904,0.431068632
326,0.063519478,0.063991855,0.058853537,0.0755458,0.077145695,0.061631178,0.462737421,0.434871921,0.374460502,0.466747889,,0.062121623,0.424023281
327,0.061818795,0.062068635,0.05713118,0.073628845,0.075026418,0.05961193,0.455202427,0.427372846,0.368148528,0.459683456,,0.060339537,0.416907934
328,0.06015587,0.060204879,0.055447216,0.071851064,0.073057452,0.057679359,0.447872734,0.419785761,0.361857453,0.452713426,,0.058602655,0.409838649
329,0.058543218,0.058572659,0.053896495,0.070177148,0.071360619,0.055976673,0.440788928,0.41235698,0.355663977,0.446022646,,0.057004124,0.402936628
330,0.056946035,0.057028645,0.052418518,0.068520532,0.069717041,0.054331402,0.433676804,0.404950738,0.349439798,0.439534558,,0.055464399,0.396022447
331,0.055316844,0.055341301,0.050904849,0.066791068,0.067829316,0.052490336,0.426202386,0.397327879,0.343007734,0.433099799,,0.053854331,0.388846
332,0.053676748,0.053558559,0.049351151,0.065059166,0.06587066,0.050558698,0.418564755,0.389614025,0.336502792,0.426736431,,0.052195486,0.381560524
333,0.0520798,0.0518719,0.047809023,0.063472367,0.064244117,0.048817723,0.411229521,0.382117471,0.330208482,0.420531496,,0.050586908,0.374518492
334,0.050536669,0.050303846,0.046310975,0.062024238,0.062931486,0.047267496,0.404280077,0.37488258,0.324112445,0.414411925,,0.049050497,0.367758367
335,0.049025589,0.048748656,0.044878123,0.060587746,0.061582493,0.045686103,0.397490985,0.367739725,0.317967849,0.408173197,,0.047550789,0.361066186
336,0.047545078,0.047172212,0.043516775,0.059142656,0.060089425,0.044044273,0.390762491,0.360584303,0.311718564,0.40181803,,0.046078022,0.354355119
337,0.046122153,0.045632643,0.042221268,0.057801452,0.058642932,0.04255022,0.384154694,0.353396935,0.305542262,0.395601088,,0.044658688,0.347697964
338,0.044729908,0.044146305,0.040955551,0.056595899,0.05735542,0.04125819,0.377692121,0.346207271,0.299541149,0.389631169,,0.043277255,0.341146847
339,0.043246728,0.042650575,0.039636703,0.055402161,0.056171979,0.039936049,0.371325871,0.339123896,0.293662674,0.383741067,,0.041844668,0.334704147
340,0.041663318,0.041135054,0.038251023,0.054171742,0.055062951,0.038472951,0.365067773,0.33227111,0.287878492,0.377817277,,0.040349798,0.328405792
341,0.040289972,0.039750045,0.036978171,0.053089742,0.054104337,0.037153016,0.359104142,0.325787088,0.282257884,0.371966644,,0.039006063,0.322383038
342,0.039329836,0.038582696,0.035933033,0.052273067,0.053326924,0.036179058,0.353530915,0.319695872,0.276819969,0.366256124,,0.037948522,0.316682252
343,0.038346366,0.037365938,0.034851524,0.051406644,0.052507298,0.03517237,0.347956114,0.313543225,0.271306739,0.36046698,,0.036854609,0.310935359
344,0.036867614,0.035823118,0.033451255,0.050165477,0.051426134,0.033720996,0.341990493,0.306891486,0.265479383,0.35440918,,0.035380662,0.304787121
345,0.035203673,0.034180332,0.031945083,0.048840135,0.050282378,0.032123775,0.336027005,0.300167455,0.259667669,0.348493534,,0.033776363,0.29862071
346,0.033910225,0.032820032,0.030700528,0.047908187,0.049405254,0.030902274,0.330693016,0.2940569,0.254365,0.343275905,,0.032476928,0.293038305
347,0.03294605,0.031739191,0.029703334,0.047309756,0.048774566,0.030046891,0.325916555,0.288490959,0.249501252,0.338403306,,0.031462859,0.287969589
348,0.031943675,0.030717175,0.028725173,0.04668938,0.04817561,0.029249655,0.321240742,0.282985195,0.244694465,0.333056772,,0.030462008,0.282973468
349,0.030822506,0.029645046,0.027673681,0.045935499,0.047512732,0.028353381,0.31655426,0.277453512,0.239855261,0.327304613,,0.029380411,0.277954344
350,0.029750619,0.028512688,0.02657394,0.045145941,0.046794513,0.027334927,0.31204272,0.272148057,0.235141917,0.321961458,,0.028279082,0.273110898
351,0.02879552,0.027386232,0.025498112,0.0444025,0.046083582,0.026285683,0.30778543,0.267163004,0.230636057,0.317197815,,0.027226621,0.268528164
352,0.027891688,0.02641812,0.024567781,0.043756361,0.045502221,0.025429231,0.303717566,0.262379327,0.226311993,0.312353703,,0.02629253,0.264136295
353,0.02700363,0.025647256,0.023808156,0.043204858,0.045069447,0.024822243,0.299743936,0.257697439,0.222148094,0.307089324,,0.025486347,0.259863156
354,0.026162565,0.024887817,0.023059077,0.042646451,0.044601815,0.024194269,0.295727955,0.253067668,0.218135695,0.301740339,,0.024703153,0.255643773
355,0.025385195,0.024008957,0.022207288,0.042006595,0.043978711,0.023369604,0.291613269,0.248484108,0.214256467,0.29659402,,0.023867147,0.251451281
356,0.02462278,0.023095969,0.02132516,0.04131136,0.04330932,0.022526442,0.287575141,0.24404072,0.210458845,0.291620124,,0.023014637,0.247358235
357,0.023841841,0.022257248,0.020508832,0.0406103,0.042713094,0.021852284,0.283776626,0.239827716,0.206713816,0.286750636,,0.02220264,0.243439386
358,0.023117082,0.021543485,0.019826024,0.039974554,0.042186462,0.021316498,0.280160603,0.235848558,0.203119694,0.281989526,,0.02149553,0.239709618
359,0.022521555,0.020967218,0.019305677,0.039449932,0.04168218,0.020826228,0.276597112,0.232061071,0.199766315,0.277340195,,0.020931483,0.236141499
360,0.021934479,0.020395562,0.018785527,0.038888308,0.041082051,0.020260143,0.272875165,0.228284532,0.196477276,0.272674149,,0.020371856,0.232545658
361,0.021183602,0.019661733,0.018054927,0.038090602,0.040261744,0.019508023,0.268783781,0.224312613,0.192999566,0.267846033,,0.019633421,0.228698653
362,0.020386175,0.018891293,0.017250811,0.037176318,0.039367622,0.018727581,0.264487142,0.220291985,0.189432456,0.26304368,,0.01884276,0.224737194
363,0.019817619,0.01836819,0.016697791,0.036437114,0.038687284,0.018217321,0.260355395,0.216559788,0.186070818,0.258629163,,0.018294534,0.220995334
364,0.019455694,0.01805719,0.016378367,0.035851298,0.038152118,0.017944567,0.256415255,0.213110715,0.182940035,0.254491107,,0.01796375,0.217488669
365,0.019013381,0.017642308,0.015971612,0.035120454,0.037377757,0.017584208,0.252388316,0.209635778,0.179825592,0.250105134,,0.017542434,0.213949895
366,0.018363534,0.016998345,0.015339883,0.034100757,0.03623168,0.01696486,0.24807737,0.205957539,0.176606523,0.24538517,,0.016900587,0.210213811
367,0.017598649,0.016259801,0.014593159,0.032862913,0.034917698,0.016130166,0.243408918,0.202085145,0.173289951,0.240827557,,0.016150536,0.206261338
368,0.016846311,0.015556409,0.013879808,0.031552023,0.033626803,0.015215355,0.238465708,0.198123025,0.169954348,0.236711739,,0.015427509,0.202181027
369,0.016281862,0.014982762,0.013388973,0.030433952,0.032483847,0.014507513,0.233615999,0.194332793,0.166796155,0.232823309,,0.014884532,0.198248315
370,0.015958794,0.014556989,0.013178804,0.029611067,0.031508426,0.014142923,0.229044564,0.190840328,0.163881842,0.228955078,,0.014564862,0.194588911
371,0.01557213,0.014101959,0.012928955,0.028686497,0.030442363,0.013782145,0.224320726,0.187331804,0.160875751,0.225076711,,0.014201015,0.19084276
372,0.014868914,0.013476389,0.012363951,0.027323048,0.029065172,0.013116048,0.219067202,0.1835182,0.157499272,0.221180129,,0.013569751,0.186694891
373,0.014103722,0.01285576,0.011712377,0.025821585,0.027544089,0.012343851,0.213631306,0.179571546,0.154050055,0.217204578,,0.01289062,0.182417636
374,0.013606948,0.012453734,0.011283375,0.024590921,0.026119944,0.011752037,0.208473062,0.175756791,0.150916254,0.21311257,,0.012448019,0.178382035
375,0.013275059,0.012150111,0.011002241,0.023551705,0.024806912,0.011277327,0.203476306,0.172116488,0.148024529,0.209124754,,0.012142471,0.174539107
376,0.012848142,0.011711871,0.010654823,0.022441157,0.023527408,0.010728993,0.198316786,0.168600137,0.145130303,0.205524606,,0.011738279,0.170682409
