wvln_2,A8_ag,B8_ag,C8_ag,E8_ag,A9_ag,B9_ag,C9_ag,D9_ag,E9_ag,F9_ag,G9_ag,H9_ag,I9_ag,J9_ag,K9_ag,L9_ag,G10_ag,H10_ag,I10_ag,J10_ag,K10_ag,L10_ag,srfa_ag
528,0.000169632223240401,0.00447205587035382,0.00752096073208391,0.0281801643397813,-0.000648921659992713,-0.000124337988777715,0.00656989083765363,0.00643250154776998,0.0241698978798187,0.0213178776069192,-0.00184888729413277,-0.00243226753731344,0.00284641089166237,0.00492065704773545,0.0182986957443387,0.0188023870400154,-0.00238523200913534,-0.00217069094827585,0.0061895474395265,0.0035241373455996,0.0175035101100103,0.0203889431870818,0.0311689260593585
529,0.000182826418789153,0.00438464164041016,0.00737103637824336,0.0277527356740268,-0.000660692692969134,-0.000144335776960439,0.00639836712149932,0.00627403656653653,0.0238076348618556,0.0209999985940776,-0.0018299460885229,-0.0024138237261966,0.0027780011580031,0.0048140802238806,0.0180178932707154,0.0184860367344313,-0.002360888252702,-0.00213253126608337,0.0060756631497684,0.00347325283067423,0.0172618959727226,0.0200729368244982,0.0308179943386516
530,9.29788534200331e-05,0.00427815058935765,0.00718948444572765,0.027299378687722,-0.000768253387394405,-0.000236004626991186,0.00625569404114834,0.00611710295118185,0.023405154079058,0.0206206782747323,-0.00192242336592896,-0.00249643777663407,0.00263464148224395,0.00470109336078229,0.0176819466803911,0.0181474232629954,-0.00245512228512607,-0.00222077539886771,0.00591312732887289,0.00333598888317036,0.0169343733401956,0.0197094536284097,0.0304787702864985
531,-4.11519475791676e-05,0.00416379786601054,0.00698925051027455,0.0268283680428807,-0.000876828384569983,-0.000329356823117369,0.00612574269610737,0.00597324211239849,0.0229827358045768,0.0202034843201989,-0.00202062173829128,-0.00258226478383942,0.0024846505854349,0.0045666963104735,0.0173093188336336,0.0178020674504632,-0.00257543354670611,-0.00232379955609879,0.00571833917910449,0.00314154996783327,0.0165415004792846,0.0193240575591868,0.030146907874421
532,-5.06862282364309e-05,0.00404409857775878,0.00679003418148953,0.0263564174334384,-0.000777292080388636,-0.000289728807602013,0.00593564518032212,0.0058207844796204,0.0225912232027416,0.0198226888015767,-0.00187401312403499,-0.00244540298507461,0.00249425347400927,0.00438236296963459,0.0169613215388574,0.0174783578229542,-0.00249082462686565,-0.00216440684508491,0.00553034945959856,0.00301255970149256,0.0162031653371076,0.0189899714359238,0.0297210535254761
533,1.39408809610407e-05,0.00394280293737365,0.00664134384092992,0.0259176844130901,-0.000685330485855878,-0.000226791544599012,0.00575012028670776,0.00570232498650565,0.022245875417697,0.0195161290109587,-0.00178484706752085,-0.0022463012609367,0.0025039113934637,0.00423312980571281,0.0166703838587236,0.0171916744531652,-0.00232792687210498,-0.00197834445142442,0.00542618870303653,0.00298240075465998,0.0159545379374678,0.0187247183607823,0.0292242758620689
534,9.13470851517523e-05,0.00391792113277178,0.0066348318190377,0.0255763079371854,-0.000564554054517517,-0.000128971150852183,0.00581444013155417,0.00574808094347437,0.0219255903267514,0.0192829393218935,-0.0016653006727554,-0.00208713878595529,0.00261517466117686,0.00435270767498712,0.0164396266791045,0.0169470325591868,-0.00217030714316348,-0.00181247368726011,0.00553543769943386,0.00312604578935657,0.0157268286219763,0.0184771979284611,0.0288463890890376
535,0.000259120444365366,0.00395180693923153,0.00669562803559999,0.0253020414646699,-0.000361607342341707,4.97902001746209e-08,0.00600119821247005,0.00584512939758736,0.0216122715463892,0.0190671852327932,-0.00151151025457255,-0.00191363865014008,0.00276675651483961,0.00456960871397324,0.0162400603673443,0.0167248506722851,-0.00199116928182362,-0.0016271749058544,0.00567874189871876,0.00327941385330347,0.0154846027952908,0.0182094197825528,0.0287109123348773
536,0.000288877595301582,0.00388655538957858,0.0066134971372462,0.0248963500997954,-0.000319052621429127,-1.30671144223937e-05,0.00586645288276866,0.00566744346183298,0.0213009060009038,0.0187309546087895,-0.00149263862177317,-0.00190661539286328,0.00272878026891404,0.0044403623423829,0.0159764243534483,0.0164701550598302,-0.00197190988484302,-0.00161230041034684,0.00550917681627747,0.00317717617870169,0.0152451719023417,0.0179154702200206,0.0288000502659119
537,0.000116075678665672,0.00367275556782948,0.00635741496916875,0.0243210645067346,-0.000505748493640039,-0.000206755513967299,0.00549538244605404,0.00531284639080591,0.0209210543702848,0.0182488105870982,-0.00169167869123828,-0.00210547112426372,0.00247257483487735,0.00412411504331791,0.0155673110331961,0.0161414482050952,-0.00215381481171723,-0.00181660756049028,0.00522980520739137,0.00282479140554103,0.0148960655236748,0.0175627540272774,0.0288357215645909
