wvln_2,T0,T0_sd,Light,Light_sd,Dark,Dark_sd
564,0.63,0.00,0.37,0.01,0.64,0.00
565,0.62,0.00,0.36,0.01,0.62,0.00
566,0.60,0.00,0.35,0.01,0.60,0.00
567,0.58,0.00,0.34,0.01,0.59,0.00
568,0.56,0.00,0.33,0.01,0.57,0.00
569,0.54,0.00,0.32,0.01,0.55,0.00
570,0.53,0.00,0.31,0.01,0.53,0.00
571,0.51,0.00,0.30,0.01,0.51,0.00
572,0.48,0.00,0.29,0.01,0.50,0.00
573,0.48,0.00,0.27,0.00,0.46,0.01
574,0.51,0.00,0.30,0.01,0.50,0.00
575,0.52,0.00,0.31,0.00,0.53,0.00
576,0.54,0.00,0.31,0.00,0.54,0.00
577,0.54,0.00,0.30,0.01,0.55,0.00
578,0.53,0.00,0.30,0.01,0.54,0.00
579,0.52,0.00,0.30,0.01,0.53,0.00
580,0.51,0.00,0.30,0.01,0.52,0.00
581,0.51,0.00,0.29,0.01,0.51,0.00
582,0.52,0.00,0.29,0.01,0.51,0.00
583,0.55,0.00,0.32,0.01,0.54,0.00
584,0.57,0.01,0.35,0.01,0.56,0.00
585,0.60,0.01,0.39,0.01,0.59,0.00
586,0.61,0.01,0.42,0.01,0.62,0.00
587,0.61,0.01,0.41,0.01,0.62,0.00
588,0.60,0.01,0.41,0.01,0.61,0.00
589,0.60,0.01,0.41,0.01,0.61,0.01
590,0.59,0.01,0.41,0.01,0.60,0.01
591,0.59,0.01,0.41,0.01,0.60,0.01
592,0.55,0.01,0.42,0.01,0.60,0.01
593,0.47,0.01,0.35,0.01,0.52,0.01
594,0.44,0.01,0.27,0.01,0.44,0.01
595,0.45,0.01,0.28,0.01,0.45,0.01
596,0.47,0.02,0.29,0.01,0.46,0.00
597,0.48,0.02,0.31,0.01,0.47,0.00
598,0.50,0.01,0.32,0.01,0.49,0.00
599,0.51,0.01,0.34,0.01,0.51,0.00
600,0.51,0.01,0.35,0.01,0.52,0.00
601,0.50,0.02,0.34,0.01,0.50,0.00
602,0.46,0.02,0.33,0.01,0.49,0.00
603,0.44,0.02,0.26,0.01,0.42,0.00
604,0.47,0.02,0.30,0.01,0.46,0.00
605,0.45,0.02,0.31,0.01,0.46,0.00
606,0.40,0.02,0.27,0.01,0.42,0.00
607,0.38,0.02,0.23,0.01,0.37,0.00
608,0.38,0.02,0.23,0.01,0.37,0.00
609,0.39,0.02,0.24,0.01,0.38,0.00
610,0.38,0.02,0.25,0.01,0.38,0.00
611,0.37,0.02,0.24,0.01,0.37,0.00
612,0.36,0.02,0.23,0.01,0.36,0.00
613,0.35,0.02,0.22,0.01,0.35,0.00
614,0.35,0.02,0.22,0.01,0.35,0.00
615,0.35,0.01,0.23,0.01,0.35,0.00
616,0.34,0.01,0.22,0.01,0.34,0.00
617,0.33,0.01,0.21,0.01,0.33,0.00
618,0.32,0.01,0.21,0.01,0.32,0.00
619,0.32,0.01,0.21,0.01,0.32,0.00
